blockNumber,blockTimestamp,parentBlockHash,blockDifficulty,tokenId,heroSeed,heroRarity
13756317,1640354434,0x2cfef2aefa17768c4c142c01fe531176482b782a48551261e1976490d29b0c63,2,7381949,159736617687929202745258582973,0
13756317,1640354434,0x2cfef2aefa17768c4c142c01fe531176482b782a48551261e1976490d29b0c63,2,7381947,5350461569198523706722791498683,1
13756317,1640354434,0x2cfef2aefa17768c4c142c01fe531176482b782a48551261e1976490d29b0c63,2,7381946,80506051527207522951345775546,0
13756317,1640354434,0x2cfef2aefa17768c4c142c01fe531176482b782a48551261e1976490d29b0c63,2,7381944,238963573600481283212122825656,0
13756317,1640354434,0x2cfef2aefa17768c4c142c01fe531176482b782a48551261e1976490d29b0c63,2,7381948,159736631891922139501613327292,0
13756317,1640354434,0x2cfef2aefa17768c4c142c01fe531176482b782a48551261e1976490d29b0c63,2,7381945,159736620010883638743146734521,0
13756318,1640354437,0x84a12dedda398c64faa08ae9162e32063f86c9f63c19b8c38a745eca7ad3e0a6,2,7381950,238963579503621782584087847870,0
13756318,1640354437,0x84a12dedda398c64faa08ae9162e32063f86c9f63c19b8c38a745eca7ad3e0a6,2,7381951,5112777069888904605633715676095,1
13756318,1640354437,0x84a12dedda398c64faa08ae9162e32063f86c9f63c19b8c38a745eca7ad3e0a6,2,7381952,159735408726438827267495863232,0
13756318,1640354437,0x84a12dedda398c64faa08ae9162e32063f86c9f63c19b8c38a745eca7ad3e0a6,2,7381955,2656704038993366376390901932995,1
13756318,1640354437,0x84a12dedda398c64faa08ae9162e32063f86c9f63c19b8c38a745eca7ad3e0a6,2,7381954,7648074657769732395975094346690,1
13756318,1640354437,0x84a12dedda398c64faa08ae9162e32063f86c9f63c19b8c38a745eca7ad3e0a6,2,7381953,7885760349403969514182924084161,1
13756318,1640354437,0x84a12dedda398c64faa08ae9162e32063f86c9f63c19b8c38a745eca7ad3e0a6,2,7381956,278577670242201387182381376452,0
13756318,1640354437,0x84a12dedda398c64faa08ae9162e32063f86c9f63c19b8c38a745eca7ad3e0a6,2,7381958,80508471738839917442985141190,0
13756318,1640354437,0x84a12dedda398c64faa08ae9162e32063f86c9f63c19b8c38a745eca7ad3e0a6,2,7381959,120120138648134492975560434631,0
13756318,1640354437,0x84a12dedda398c64faa08ae9162e32063f86c9f63c19b8c38a745eca7ad3e0a6,2,7381963,3845124057673982571710805746635,1
13756318,1640354437,0x84a12dedda398c64faa08ae9162e32063f86c9f63c19b8c38a745eca7ad3e0a6,2,7381965,278576454271054098286232249293,0
13756318,1640354437,0x84a12dedda398c64faa08ae9162e32063f86c9f63c19b8c38a745eca7ad3e0a6,2,7381962,7993849417872225067049467413308362,3
13756318,1640354437,0x84a12dedda398c64faa08ae9162e32063f86c9f63c19b8c38a745eca7ad3e0a6,2,7381961,278576464822523028553778373577,0
13756318,1640354437,0x84a12dedda398c64faa08ae9162e32063f86c9f63c19b8c38a745eca7ad3e0a6,2,7381964,278577663120709961917223969740,0
13756318,1640354437,0x84a12dedda398c64faa08ae9162e32063f86c9f63c19b8c38a745eca7ad3e0a6,2,7381957,278576443608660383296643965893,0
13756318,1640354437,0x84a12dedda398c64faa08ae9162e32063f86c9f63c19b8c38a745eca7ad3e0a6,2,7381960,120122549415968418650588750792,0
13756319,1640354440,0x62b308985081002bac85ef0e3b3174eadb24986bb27580057ebf3a584d9877d5,2,7381970,120120126843188811521145742290,0
13756319,1640354440,0x62b308985081002bac85ef0e3b3174eadb24986bb27580057ebf3a584d9877d5,2,7381969,80508468122127409291119862737,0
13756319,1640354440,0x62b308985081002bac85ef0e3b3174eadb24986bb27580057ebf3a584d9877d5,2,7381975,159734214003208152210843149271,0
13756319,1640354440,0x62b308985081002bac85ef0e3b3174eadb24986bb27580057ebf3a584d9877d5,2,7381974,199350716690647900565617550294,0
13756319,1640354440,0x62b308985081002bac85ef0e3b3174eadb24986bb27580057ebf3a584d9877d5,2,7381972,278578868543849336859461198804,0
13756319,1640354440,0x62b308985081002bac85ef0e3b3174eadb24986bb27580057ebf3a584d9877d5,2,7381971,159735415807645553865824183251,0
13756319,1640354440,0x62b308985081002bac85ef0e3b3174eadb24986bb27580057ebf3a584d9877d5,2,7381973,199349501788263350039642940373,0
13756319,1640354440,0x62b308985081002bac85ef0e3b3174eadb24986bb27580057ebf3a584d9877d5,2,7381976,199349505328743427299007833048,0
13756319,1640354440,0x62b308985081002bac85ef0e3b3174eadb24986bb27580057ebf3a584d9877d5,2,7381968,80508476461207526212537197520,0
13756319,1640354440,0x62b308985081002bac85ef0e3b3174eadb24986bb27580057ebf3a584d9877d5,2,7381979,199348298765402964897431593947,0
13756319,1640354440,0x62b308985081002bac85ef0e3b3174eadb24986bb27580057ebf3a584d9877d5,2,7381978,120121344034375876170751189978,0
13756319,1640354440,0x62b308985081002bac85ef0e3b3174eadb24986bb27580057ebf3a584d9877d5,2,7381980,120120125624587935848634295260,0
13756319,1640354440,0x62b308985081002bac85ef0e3b3174eadb24986bb27580057ebf3a584d9877d5,2,7381977,278577652495384249560615396313,0
13756320,1640354443,0x2fb3e796eff9642c73dac911ec16a85a4819e70862619386b34cbfff8d37139b,2,7381984,80506046765494216037271380960,0
13756320,1640354443,0x2fb3e796eff9642c73dac911ec16a85a4819e70862619386b34cbfff8d37139b,2,7381983,2735932197965999967020287828959,1
13756320,1640354443,0x2fb3e796eff9642c73dac911ec16a85a4819e70862619386b34cbfff8d37139b,2,7381989,211939175619022723024774132442085,2
13756320,1640354443,0x2fb3e796eff9642c73dac911ec16a85a4819e70862619386b34cbfff8d37139b,2,7381991,199348292898112244459242562535,0
13756320,1640354443,0x2fb3e796eff9642c73dac911ec16a85a4819e70862619386b34cbfff8d37139b,2,7381992,4043195667057551785027378914280,1
13756320,1640354443,0x2fb3e796eff9642c73dac911ec16a85a4819e70862619386b34cbfff8d37139b,2,7381993,4082810958308040201824948495337,1
13756320,1640354443,0x2fb3e796eff9642c73dac911ec16a85a4819e70862619386b34cbfff8d37139b,2,7381990,8994957034193689014620430312422,1
13756320,1640354443,0x2fb3e796eff9642c73dac911ec16a85a4819e70862619386b34cbfff8d37139b,2,7381988,80507249752618538136297841636,0
13756320,1640354443,0x2fb3e796eff9642c73dac911ec16a85a4819e70862619386b34cbfff8d37139b,2,7381987,159735425328473590708980196323,0
13756319,1640354440,0x62b308985081002bac85ef0e3b3174eadb24986bb27580057ebf3a584d9877d5,2,7381966,238962361134223249620136403918,0
13756319,1640354440,0x62b308985081002bac85ef0e3b3174eadb24986bb27580057ebf3a584d9877d5,2,7381967,80508458714250777002322731983,0
13756320,1640354443,0x2fb3e796eff9642c73dac911ec16a85a4819e70862619386b34cbfff8d37139b,2,7381985,278577651388543576341023335393,0
13756320,1640354443,0x2fb3e796eff9642c73dac911ec16a85a4819e70862619386b34cbfff8d37139b,2,7381981,120122549418526463238935192541,0
13756320,1640354443,0x2fb3e796eff9642c73dac911ec16a85a4819e70862619386b34cbfff8d37139b,2,7381986,159736637722134724207661065186,0
13756320,1640354443,0x2fb3e796eff9642c73dac911ec16a85a4819e70862619386b34cbfff8d37139b,2,7381982,2735930999626234675997050971102,1
13756321,1640354446,0x022347103a6da3a0c6010670ad4f2f168feb1298cf72b377d36363e5d9ce65f5,2,7381998,120121341672075742028340700142,0
13756321,1640354446,0x022347103a6da3a0c6010670ad4f2f168feb1298cf72b377d36363e5d9ce65f5,2,7381997,278576449472526116218217735149,0
13756321,1640354446,0x022347103a6da3a0c6010670ad4f2f168feb1298cf72b377d36363e5d9ce65f5,2,7381995,278576447185165879875252298731,0
13756321,1640354446,0x022347103a6da3a0c6010670ad4f2f168feb1298cf72b377d36363e5d9ce65f5,2,7381994,7885760335349995984613907932138,1
13756321,1640354446,0x022347103a6da3a0c6010670ad4f2f168feb1298cf72b377d36363e5d9ce65f5,2,7381996,199348294078629555782802252780,0
13756322,1640354449,0x16caa18f5b57dcdb1a19abaffb8b616c770dd8b5885b0b57c1402198c888fda1,2,7382006,278576444826396567840700277750,0
13756322,1640354449,0x16caa18f5b57dcdb1a19abaffb8b616c770dd8b5885b0b57c1402198c888fda1,2,7382008,199349490017944720220173149176,0
13756322,1640354449,0x16caa18f5b57dcdb1a19abaffb8b616c770dd8b5885b0b57c1402198c888fda1,2,7382005,80506040864881361956168049653,0
13756322,1640354449,0x16caa18f5b57dcdb1a19abaffb8b616c770dd8b5885b0b57c1402198c888fda1,2,7382007,199350700162544228607047279607,0
13756322,1640354449,0x16caa18f5b57dcdb1a19abaffb8b616c770dd8b5885b0b57c1402198c888fda1,2,7382004,238964796693507306941383222260,0
13756322,1640354449,0x16caa18f5b57dcdb1a19abaffb8b616c770dd8b5885b0b57c1402198c888fda1,2,7382002,159735413446426283633982612466,0
13756323,1640354452,0x82a4f8ad5aeb7864cfa48dd99ff040c7e16ff14416a1b028f1ba252876f2cfdd,2,7382015,199349495922019716514817549311,0
13756323,1640354452,0x82a4f8ad5aeb7864cfa48dd99ff040c7e16ff14416a1b028f1ba252876f2cfdd,2,7382018,278576442465033182420782851074,0
13756323,1640354452,0x82a4f8ad5aeb7864cfa48dd99ff040c7e16ff14416a1b028f1ba252876f2cfdd,2,7382017,199348301125432158927740511233,0
13756323,1640354452,0x82a4f8ad5aeb7864cfa48dd99ff040c7e16ff14416a1b028f1ba252876f2cfdd,2,7382016,128195007830853466606171906417664,2
13756323,1640354452,0x82a4f8ad5aeb7864cfa48dd99ff040c7e16ff14416a1b028f1ba252876f2cfdd,2,7382019,9113796859043531757777522304003,1
13756323,1640354452,0x82a4f8ad5aeb7864cfa48dd99ff040c7e16ff14416a1b028f1ba252876f2cfdd,2,7382014,199349503004665343194090742782,0
13756323,1640354452,0x82a4f8ad5aeb7864cfa48dd99ff040c7e16ff14416a1b028f1ba252876f2cfdd,2,7382013,238963573599579437386741883901,0
13756322,1640354449,0x16caa18f5b57dcdb1a19abaffb8b616c770dd8b5885b0b57c1402198c888fda1,2,7381999,120121326362248686569111200751,0
13756322,1640354449,0x16caa18f5b57dcdb1a19abaffb8b616c770dd8b5885b0b57c1402198c888fda1,2,7382000,120122540009284114363137958896,0
13756322,1640354449,0x16caa18f5b57dcdb1a19abaffb8b616c770dd8b5885b0b57c1402198c888fda1,2,7382003,159734199871849270244719764467,0
13756322,1640354449,0x16caa18f5b57dcdb1a19abaffb8b616c770dd8b5885b0b57c1402198c888fda1,2,7382001,120122537612540450270597915633,0
13756323,1640354452,0x82a4f8ad5aeb7864cfa48dd99ff040c7e16ff14416a1b028f1ba252876f2cfdd,2,7382010,278577663158864457960306811898,0
13756323,1640354452,0x82a4f8ad5aeb7864cfa48dd99ff040c7e16ff14416a1b028f1ba252876f2cfdd,2,7382009,80507250933207907053895459833,0
13756323,1640354452,0x82a4f8ad5aeb7864cfa48dd99ff040c7e16ff14416a1b028f1ba252876f2cfdd,2,7382012,120121336985307962413245572092,0
13756323,1640354452,0x82a4f8ad5aeb7864cfa48dd99ff040c7e16ff14416a1b028f1ba252876f2cfdd,2,7382011,199349492380349563053920003067,0
13756324,1640354455,0x1d15c02d5781c82b623866bc24f5ef26dc041d87d56a546c648b8a92c96408c9,2,7382027,80507262738007221520420611083,0
13756324,1640354455,0x1d15c02d5781c82b623866bc24f5ef26dc041d87d56a546c648b8a92c96408c9,2,7382025,278577657218871002837569020937,0
13756324,1640354455,0x1d15c02d5781c82b623866bc24f5ef26dc041d87d56a546c648b8a92c96408c9,2,7382026,278578870905030326494470120458,0
13756324,1640354455,0x1d15c02d5781c82b623866bc24f5ef26dc041d87d56a546c648b8a92c96408c9,2,7382024,159735411161231152811875542024,0
13756324,1640354455,0x1d15c02d5781c82b623866bc24f5ef26dc041d87d56a546c648b8a92c96408c9,2,7382023,5192001600826058469164692055047,1
13756325,1640354458,0x62e82947f4d1d6fccef6bfb88a094b7eea3f18bdda961efab5246fe2186c314c,2,7382028,80508456354290262866331214860,0
13756325,1640354458,0x62e82947f4d1d6fccef6bfb88a094b7eea3f18bdda961efab5246fe2186c314c,2,7382031,238964797910923735911896228879,0
13756325,1640354458,0x62e82947f4d1d6fccef6bfb88a094b7eea3f18bdda961efab5246fe2186c314c,2,7382029,246205352264351594852297282200589,2
13756324,1640354455,0x1d15c02d5781c82b623866bc24f5ef26dc041d87d56a546c648b8a92c96408c9,2,7382020,199350717871240647182935696388,0
13756324,1640354455,0x1d15c02d5781c82b623866bc24f5ef26dc041d87d56a546c648b8a92c96408c9,2,7382021,199349503041490151447192445957,0
13756324,1640354455,0x1d15c02d5781c82b623866bc24f5ef26dc041d87d56a546c648b8a92c96408c9,2,7382022,199349495921118996589343450118,0
13756325,1640354458,0x62e82947f4d1d6fccef6bfb88a094b7eea3f18bdda961efab5246fe2186c314c,2,7382030,199348294080003153669150254094,0
13756325,1640354458,0x62e82947f4d1d6fccef6bfb88a094b7eea3f18bdda961efab5246fe2186c314c,2,7382032,199349491235607721270284690448,0
13756325,1640354458,0x62e82947f4d1d6fccef6bfb88a094b7eea3f18bdda961efab5246fe2186c314c,2,7382034,238962372976992412545022206994,0
13756325,1640354458,0x62e82947f4d1d6fccef6bfb88a094b7eea3f18bdda961efab5246fe2186c314c,2,7382040,278578862677925458908179112984,0
13756325,1640354458,0x62e82947f4d1d6fccef6bfb88a094b7eea3f18bdda961efab5246fe2186c314c,2,7382041,120120130423083266819350373401,0
13756325,1640354458,0x62e82947f4d1d6fccef6bfb88a094b7eea3f18bdda961efab5246fe2186c314c,2,7382035,278577662013834385800519787539,0
13756325,1640354458,0x62e82947f4d1d6fccef6bfb88a094b7eea3f18bdda961efab5246fe2186c314c,2,7382037,120121348755625466332808520725,0
13756325,1640354458,0x62e82947f4d1d6fccef6bfb88a094b7eea3f18bdda961efab5246fe2186c314c,2,7382038,159734211604229576803220497430,0
13756325,1640354458,0x62e82947f4d1d6fccef6bfb88a094b7eea3f18bdda961efab5246fe2186c314c,2,7382039,120120132781922384648126637079,0
13756325,1640354458,0x62e82947f4d1d6fccef6bfb88a094b7eea3f18bdda961efab5246fe2186c314c,2,7382036,199348301125431033027833668628,0
13756325,1640354458,0x62e82947f4d1d6fccef6bfb88a094b7eea3f18bdda961efab5246fe2186c314c,2,7382042,2775542650082221362182425191450,1
13756325,1640354458,0x62e82947f4d1d6fccef6bfb88a094b7eea3f18bdda961efab5246fe2186c314c,2,7382033,80508467017626356077946774545,0
13756325,1640354458,0x62e82947f4d1d6fccef6bfb88a094b7eea3f18bdda961efab5246fe2186c314c,2,7382044,80507265136085077002569163804,0
13756325,1640354458,0x62e82947f4d1d6fccef6bfb88a094b7eea3f18bdda961efab5246fe2186c314c,2,7382043,278578862638837591842323735579,0
13756326,1640354461,0xe74d32c74565cfde6b77b35e0abd260b1243d9a2fda3fd5ff635990b1f301118,2,7382053,249770620791105902923765469193253,2
13756326,1640354461,0xe74d32c74565cfde6b77b35e0abd260b1243d9a2fda3fd5ff635990b1f301118,2,7382050,238964786069445980180158915618,0
13756326,1640354461,0xe74d32c74565cfde6b77b35e0abd260b1243d9a2fda3fd5ff635990b1f301118,2,7382051,278578865036805109133601711139,0
13756326,1640354461,0xe74d32c74565cfde6b77b35e0abd260b1243d9a2fda3fd5ff635990b1f301118,2,7382059,238964796694698509042822718507,0
